                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  1.115,                  1.215,                 1.1688,                0.48614,                0.35061,                0.34856,                 0.1697,                  1.884,                 2.8458,                 1.7469,             0.00032209,             0.00032209,             0.00032209
                     35,                 1.2042,                 1.0954,                 1.0948,                 0.3135,                    0.2,                 0.2891,                0.14865,                  1.866,                 2.6992,                 1.7643,             0.00032683,             0.00032683,             0.00032683
                     36,                 1.2934,                 1.0818,                 1.0913,                 0.3128,                    0.2,                0.28324,                0.15011,                 1.7851,                 2.5307,                 1.7583,             0.00033129,             0.00033129,             0.00033129
                     37,                 1.1972,                  1.049,                 1.0648,                 0.3128,                    0.2,                0.28324,                0.15011,                 1.7851,                 2.5307,                 1.7583,             0.00033546,             0.00033546,             0.00033546
                     38,                 1.0335,                 1.0832,                 1.1064,                0.29733,                    0.2,                0.29682,                0.14685,                 1.7311,                 2.5594,                 1.7395,             0.00033935,             0.00033935,             0.00033935
                     39,                 1.0884,                0.95471,                 1.0344,                0.37312,                0.36667,                0.32515,                0.17005,                 1.8956,                 2.6772,                 1.8257,             0.00034295,             0.00034295,             0.00034295
                     40,                0.96843,                0.90653,                 1.0433,                0.37312,                0.36667,                0.32515,                0.17005,                 1.8956,                 2.6772,                 1.8257,             0.00034628,             0.00034628,             0.00034628
                     41,                0.96157,                0.90952,                  1.003,                 0.3694,                0.36667,                0.43549,                0.26801,                 1.9857,                 2.7462,                 1.9177,             0.00034932,             0.00034932,             0.00034932
                     42,                 1.0277,                0.88575,                 1.0138,                0.42553,                0.31217,                0.43465,                 0.2835,                 1.9447,                 2.7258,                 1.8998,             0.00035208,             0.00035208,             0.00035208
                     43,                0.91174,                0.83912,                 1.0516,                0.42553,                0.31217,                0.43465,                 0.2835,                 1.9447,                 2.7258,                 1.8998,             0.00035455,             0.00035455,             0.00035455
                     44,                 1.0088,                0.88364,                 1.0008,                0.42026,                0.28696,                 0.4474,                0.27196,                 1.9549,                 2.6828,                 1.8847,             0.00035674,             0.00035674,             0.00035674
                     45,                0.95555,                0.98868,                 1.0096,                0.42026,                0.28696,                 0.4474,                0.27196,                 1.9549,                 2.6828,                 1.8847,             0.00035865,             0.00035865,             0.00035865
                     46,                 0.9666,                0.86695,                 1.0191,                0.40793,                0.29996,                0.33719,                0.19275,                 1.9361,                 2.7026,                 1.8835,             0.00036028,             0.00036028,             0.00036028
                     47,                0.92443,                0.81657,                0.94229,                0.40793,                0.29996,                0.33719,                0.19275,                 1.9361,                 2.7026,                 1.8835,             0.00036163,             0.00036163,             0.00036163
                     48,                 1.0198,                0.88285,                 1.0475,                0.41656,                0.35799,                0.33733,                0.17822,                 1.9256,                 2.7519,                 1.8812,             0.00036269,             0.00036269,             0.00036269
                     49,                0.99997,                0.87317,                0.97997,                0.41656,                0.35799,                0.33733,                0.17822,                 1.9256,                 2.7519,                 1.8812,             0.00036347,             0.00036347,             0.00036347
                     50,                 1.0293,                0.86875,                0.97269,                0.33333,                0.22326,                0.31389,                0.16108,                 1.9053,                 2.7786,                 1.8657,             0.00036396,             0.00036396,             0.00036396
                     51,                0.91338,                0.79587,                0.98479,                0.33333,                0.22326,                0.31389,                0.16108,                 1.9053,                 2.7786,                 1.8657,             0.00036057,             0.00036057,             0.00036057
                     52,                 1.0789,                0.91449,                 1.0442,                0.28014,                    0.2,                0.29217,                0.15161,                 1.9248,                 2.7099,                 1.8739,              0.0003535,              0.0003535,              0.0003535
                     53,                0.88999,                0.72471,                0.96695,                0.28014,                    0.2,                0.29217,                0.15161,                 1.9248,                 2.7099,                 1.8739,             0.00034643,             0.00034643,             0.00034643
                     54,                0.79403,                0.79461,                  0.908,                0.46765,                0.35629,                0.34552,                0.18828,                 1.9734,                  2.735,                 1.8847,             0.00033936,             0.00033936,             0.00033936
                     55,                0.94086,                0.87186,                 1.0393,                0.46765,                0.35629,                0.34552,                0.18828,                 1.9734,                  2.735,                 1.8847,              0.0003323,              0.0003323,              0.0003323
                     56,                0.82799,                0.88862,                0.96061,                0.48469,                0.34142,                 0.3297,                0.16498,                 1.9666,                 2.8049,                 1.9075,             0.00032523,             0.00032523,             0.00032523
                     57,                0.88187,                0.88098,                 1.0261,                0.48469,                0.34142,                 0.3297,                0.16498,                 1.9666,                 2.8049,                 1.9075,             0.00031816,             0.00031816,             0.00031816
                     58,                0.78552,                 0.7338,                0.94471,                0.47576,                0.29951,                0.33123,                 0.1685,                 1.9735,                 2.9412,                 1.8894,             0.00031109,             0.00031109,             0.00031109
                     59,                0.84955,                0.72339,                 0.9729,                0.47576,                0.29951,                0.33123,                 0.1685,                 1.9735,                 2.9412,                 1.8894,             0.00030402,             0.00030402,             0.00030402
                     60,                  0.897,                0.81023,                0.95216,                0.47083,                0.31311,                0.32397,                0.17165,                 1.9532,                 3.1046,                 1.8393,             0.00029695,             0.00029695,             0.00029695
                     61,                0.72613,                 0.6802,                0.91503,                0.47083,                0.31311,                0.32397,                0.17165,                 1.9532,                 3.1046,                 1.8393,             0.00028988,             0.00028988,             0.00028988
                     62,                0.89926,                0.83999,                 1.0335,                0.48412,                0.32762,                0.33227,                 0.1713,                 2.0326,                 3.1305,                 1.8868,             0.00028282,             0.00028282,             0.00028282
                     63,                 0.9002,                0.81414,                0.94565,                0.48412,                0.32762,                0.33227,                 0.1713,                 2.0326,                 3.1305,                 1.8868,             0.00027575,             0.00027575,             0.00027575
                     64,                0.81755,                0.71639,                0.95025,                0.49648,                0.34223,                 0.3322,                0.16402,                 2.0029,                 3.0809,                 1.9401,             0.00026868,             0.00026868,             0.00026868
                     65,                0.70128,                0.63373,                0.94748,                0.49648,                0.34223,                 0.3322,                0.16402,                 2.0029,                 3.0809,                 1.9401,             0.00026161,             0.00026161,             0.00026161
                     66,                  0.838,                0.91889,                 1.0571,                0.49235,                0.33654,                0.33868,                0.16774,                 1.9801,                 3.0708,                 1.9797,             0.00025454,             0.00025454,             0.00025454
                     67,                0.85691,                0.75202,                0.95844,                0.49235,                0.33654,                0.33868,                0.16774,                 1.9801,                 3.0708,                 1.9797,             0.00024747,             0.00024747,             0.00024747
                     68,                0.61028,                0.58747,                0.90964,                0.48873,                0.32792,                0.33932,                0.17715,                 2.0336,                 3.1422,                 1.9854,              0.0002404,              0.0002404,              0.0002404
                     69,                0.70228,                0.61332,                0.91507,                0.48873,                0.32792,                0.33932,                0.17715,                 2.0336,                 3.1422,                 1.9854,             0.00023334,             0.00023334,             0.00023334
                     70,                0.69982,                0.61643,                0.89673,                0.48375,                0.33219,                0.37525,                0.19801,                 2.2261,                 3.1356,                 2.0442,             0.00022627,             0.00022627,             0.00022627
                     71,                0.77777,                0.73839,                0.93903,                0.48375,                0.33219,                0.37525,                0.19801,                 2.2261,                 3.1356,                 2.0442,              0.0002192,              0.0002192,              0.0002192
                     72,                0.76918,                0.61107,                0.91996,                0.48434,                0.34619,                0.39937,                 0.2116,                 2.2031,                 2.8287,                 2.0656,             0.00021213,             0.00021213,             0.00021213
                     73,                0.88388,                0.66565,                0.91589,                0.48434,                0.34619,                0.39937,                 0.2116,                 2.2031,                 2.8287,                 2.0656,             0.00020506,             0.00020506,             0.00020506
                     74,                0.71733,                 0.5684,                0.90068,                0.48972,                0.37021,                 0.4071,                0.21434,                 2.2124,                 2.5986,                 2.0469,             0.00019799,             0.00019799,             0.00019799
                     75,                0.64909,                 0.5815,                0.92327,                0.48972,                0.37021,                 0.4071,                0.21434,                 2.2124,                 2.5986,                 2.0469,             0.00019092,             0.00019092,             0.00019092
                     76,                0.64661,                0.57924,                 0.9257,                0.49246,                0.38735,                 0.4071,                0.19298,                  2.118,                 2.3708,                 2.0067,             0.00018385,             0.00018385,             0.00018385
                     77,                0.66167,                0.55855,                0.92108,                0.49246,                0.38735,                 0.4071,                0.19298,                  2.118,                 2.3708,                 2.0067,             0.00017679,             0.00017679,             0.00017679
                     78,                0.82087,                0.71495,                0.94548,                0.28289,                    0.2,                0.36814,                0.16869,                 2.0444,                 2.3557,                 1.9895,             0.00016972,             0.00016972,             0.00016972
                     79,                0.84195,                0.67376,                0.93551,                0.28289,                    0.2,                0.36814,                0.16869,                 2.0444,                 2.3557,                 1.9895,             0.00016265,             0.00016265,             0.00016265
                     80,                0.73396,                 0.5881,                0.90795,                0.29072,                    0.2,                0.34526,                0.15543,                 2.0351,                 2.4156,                 2.0017,             0.00015558,             0.00015558,             0.00015558
                     81,                0.83782,                0.63868,                0.95489,                0.29072,                    0.2,                0.34526,                0.15543,                 2.0351,                 2.4156,                 2.0017,             0.00014851,             0.00014851,             0.00014851
                     82,                0.68722,                0.64098,                  0.933,                0.29618,                    0.2,                0.35601,                0.15684,                 2.0216,                 2.3804,                 1.9664,             0.00014144,             0.00014144,             0.00014144
                     83,                0.67151,                0.61404,                0.94056,                0.29618,                    0.2,                0.35601,                0.15684,                 2.0216,                 2.3804,                 1.9664,             0.00013437,             0.00013437,             0.00013437
                     84,                0.72522,                 0.6295,                0.92248,                0.31851,                0.22925,                0.36917,                0.17147,                 2.0787,                 2.4085,                 1.9644,             0.00012731,             0.00012731,             0.00012731
                     85,                0.69069,                0.54628,                0.88092,                0.31851,                0.22925,                0.36917,                0.17147,                 2.0787,                 2.4085,                 1.9644,             0.00012024,             0.00012024,             0.00012024
                     86,                0.68251,                0.63027,                0.90232,                0.33333,                0.22916,                0.36653,                0.16815,                 2.0941,                  2.411,                 1.9677,             0.00011317,             0.00011317,             0.00011317
                     87,                0.70704,                0.59304,                0.91957,                0.33333,                0.22916,                0.36653,                0.16815,                 2.0941,                  2.411,                 1.9677,              0.0001061,              0.0001061,              0.0001061
                     88,                0.80038,                0.80082,                 1.0029,                0.33333,                0.23525,                0.37739,                0.17779,                 2.0754,                 2.3446,                 1.9503,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     89,                0.63574,                 0.5076,                0.87361,                0.33333,                0.23525,                0.37739,                0.17779,                 2.0754,                 2.3446,                 1.9503,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                0.65264,                0.52342,                0.86104,                0.33333,                0.23691,                0.37696,                0.18892,                 2.0541,                 2.3579,                 1.9453,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     91,                0.69512,                0.58234,                0.89183,                0.33333,                0.23691,                0.37696,                0.18892,                 2.0541,                 2.3579,                 1.9453,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     92,                0.61614,                0.57632,                0.86247,                0.33333,                0.24033,                0.37717,                0.18605,                 2.0339,                   2.29,                 1.9457,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     93,                0.61836,                0.56717,                0.92188,                0.33333,                0.24033,                0.37717,                0.18605,                 2.0339,                   2.29,                 1.9457,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     94,                0.61067,                0.57024,                0.89146,                0.33333,                0.24088,                0.37717,                0.18537,                 2.0068,                 2.2778,                 1.9333,              5.662e-05,              5.662e-05,              5.662e-05
                     95,                0.70386,                0.62793,                0.96789,                0.33333,                0.24088,                0.37717,                0.18537,                 2.0068,                 2.2778,                 1.9333,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     96,                0.52622,                0.50471,                 0.8575,                0.33333,                0.23714,                0.37696,                0.19361,                 2.0031,                 2.3801,                 1.9326,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     97,                0.66097,                0.62126,                0.89552,                0.33333,                0.23714,                0.37696,                0.19361,                 2.0031,                 2.3801,                 1.9326,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     98,                0.55602,                0.50249,                0.85659,                0.33333,                0.23282,                0.37696,                 0.1894,                 1.9929,                 2.4072,                 1.9221,             2.8346e-05,             2.8346e-05,             2.8346e-05
                     99,                0.80862,                0.61865,                0.87555,                0.33333,                0.23282,                0.37696,                 0.1894,                 1.9929,                 2.4072,                 1.9221,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    100,                0.66002,                0.62199,                0.98692,                0.33333,                0.23161,                0.37646,                0.18129,                 1.9785,                 2.4056,                 1.9224,             1.4209e-05,             1.4209e-05,             1.4209e-05
